torsion_angle,height,rad_outer,rad_inner,void_ratio,strain_shear,stress_shear,stress_z,stress_outer,stress_inner,strain_dev,vel_rot,moment_inertial,time_duration
-0.0772598624927,0.098644542275315,0.0497373875588,0.0301046081961,0.731953783256,-0.0229201212576,-15531.3633004,19231.1584412,18810.3549664,19059.4837637,0.0264662014698,-2.29005730852,235079.178312,2.5908924025275484
-0.0784214733657,0.098644542275315,0.0497373918244,0.0301046152434,0.731953783256,-0.0232645756471,-13779.7792383,18116.7884316,18011.8715758,18414.102122,0.0268639375257,-2.56540599758,228535.759325,2.591182875418269
-0.0796450369077,0.098644542275315,0.0497373978332,0.030104625171,0.731953783256,-0.0236276532583,-15680.4156287,19748.005817,19228.7074367,19507.0385893,0.0272831774243,-2.30583847834,236186.20093,2.5914715834631807
-0.0807806957073,0.098644542275315,0.0497374018258,0.0301046317674,0.731953783256,-0.0239644930172,-14448.0241389,18913.7860309,18708.05768,19093.230015,0.0276721213445,-2.28012792258,231106.230102,2.5917632858624415
-0.0819469933867,0.098644542275315,0.0497374072298,0.0301046406956,0.731953783256,-0.0243107159915,-16118.2035965,20456.9796478,19833.2450426,20141.3036159,0.0280718998446,-2.01525759116,244167.471163,2.5920539589896894
-0.0830304278447,0.098644542275315,0.0497374104884,0.0301046460793,0.731953783256,-0.0246319574607,-14713.943642,19647.0439403,19227.0705824,19641.1517993,0.0284428330169,-2.4628792037,236643.34931,2.5923437172690376
-0.0841617553081,0.098644542275315,0.0497374155552,0.0301046544504,0.731953783256,-0.0249677338243,-16525.9389119,21222.1525678,20415.6864516,20726.6610996,0.0288305492736,-2.11042501775,244266.220488,2.5926341869811216
-0.0852002367355,0.098644542275315,0.0497374185895,0.0301046594634,0.731953783256,-0.0252758852281,-15070.042395,20354.7138854,19806.3837858,20210.8738803,0.029186367767,-2.50815310482,238672.608179,2.592926205341369
-0.0862863488282,0.098644542275315,0.0497374233897,0.0301046673941,0.731953783256,-0.0255980863311,-16842.5674785,21814.6198879,20908.9793876,21201.8126149,0.0295584091019,-2.0952193479,245682.008023,2.593219063444032
-0.0872757735156,0.098644542275315,0.0497374263841,0.0301046723413,0.731953783256,-0.0258915679354,-15474.2597524,21004.4083126,20357.1508,20761.4070653,0.0298972887384,-2.00530269751,243467.406432,2.593510321015082
-0.0883040199208,0.098644542275315,0.0497374307783,0.0301046796012,0.731953783256,-0.0261966927971,-17162.4045125,22373.0187767,21405.9482426,21707.3810689,0.0302496125824,-1.86882059458,253054.428976,2.5938028544473197
-0.0892495854159,0.098644542275315,0.049737433374,0.0301046838898,0.731953783256,-0.0264771981976,-15805.8720078,21517.5038002,20841.1196824,21246.2580754,0.0305735089593,-2.02767362016,245745.722254,2.59409563959763
-0.0902447395728,0.098644542275315,0.0497374374541,0.0301046906306,0.731953783256,-0.0267724212138,-17394.7825927,22794.2430264,21827.4898415,22138.1676978,0.03091439946,-1.85068048199,250148.141466,2.594388896838842
-0.090992123822,0.098644542275315,0.0497374306864,0.0301046794494,0.731953783256,-0.0269942359461,-14667.4490203,19966.0808649,20263.9462842,20580.6190816,0.0311705279162,-1.83603804908,231751.723799,2.594672541386304
-0.0920845564665,0.098644542275315,0.0497374370621,0.0301046899831,0.731953783256,-0.02731825246,-16851.8146533,21397.9677752,21000.2610306,21240.6820508,0.0315446657562,-2.11198147683,243933.725443,2.5949456450570167
-0.093040298215,0.098644542275315,0.0497374406639,0.0301046959338,0.731953783256,-0.0276017922221,-15647.2063632,20828.3639118,20547.0456159,20935.9440961,0.0318720659896,-2.10903376239,239294.123514,2.5952182480625527
-0.0940071116703,0.098644542275315,0.0497374453151,0.0301047036182,0.731953783256,-0.0278886849224,-17496.723824,22317.8349328,21646.0197053,21902.741437,0.0322033377388,-1.88764465795,247300.168914,2.5954906406107696
-0.0948683350143,0.098644542275315,0.0497374482029,0.0301047083893,0.731953783256,-0.0281442004613,-16305.3849405,21854.5786021,21327.4653268,21684.0593799,0.0324983788847,-1.88904062649,242677.352144,2.595762793563316
