CSV Data,0.00sec - 15.40sec
DATASET,F054
VERSION,1
SERIES,CH_1,CH_2,CH_3,CH_4
DATE,10-09-2024
TIME,08:14:24
RATE,20
VERT_UNITS,Nm,deg,N,ue
HORZ_UNITS,SEC
NUM_SERIES,4
STORAGE_MODE,INTERLACED
FILE_TYPE,INTEGER
SLOPE,0.00400,0.00400,0.20000,0.55300
X_OFFSET,0
Y_OFFSET,0,0,0,0
NUM_SAMPS,0000309
,CH_1,CH_2,CH_3,CH_4
228,0.064,-0.052,-14.8,201.292
229,0.064,-0.052,-14.8,201.292
230,0.064,-0.048,-14.8,201.845
231,0.064,-0.052,-15,201.292
232,0.064,-0.052,-14.8,201.845
233,0.064,-0.048,-14.8,201.292
234,0.064,-0.052,-14.8,201.292
235,0.064,-0.048,-14.8,201.845
236,0.06,-0.052,-14.8,201.292
237,0.064,-0.052,-14.8,201.292
238,0.064,-0.052,-14.8,201.292
239,0.06,-0.052,-14.8,201.292
240,0.06,-0.048,-14.8,201.292
241,0.064,-0.052,-14.8,201.292
242,0.064,-0.048,-14.6,201.292
243,0.06,-0.052,-14.8,201.292
244,0.064,-0.048,-14.6,201.292
245,0.06,-0.052,-14.8,200.739
246,0.064,-0.048,-14.6,201.292
247,0.064,-0.052,-14.8,201.292
248,0.064,-0.052,-14.6,201.292
249,0.064,-0.052,-14.6,201.292
250,0.06,-0.052,-14.6,201.292
251,0.064,-0.052,-14.6,201.292
252,0.064,-0.052,-14.6,201.845
253,0.064,-0.048,-14.6,201.292
254,0.06,-0.052,-14.6,201.292
255,0.06,-0.052,-14.6,201.292
256,0.064,-0.052,-14.6,201.845
257,0.06,-0.048,-14.6,201.292
258,0.064,-0.048,-14.6,201.845
259,0.064,-0.052,-14.6,201.292
260,0.064,-0.052,-14.6,201.845
261,0.064,-0.052,-14.6,201.292
262,0.064,-0.052,-14.4,201.292
263,0.064,-0.048,-14.4,201.292
264,0.064,-0.052,-14.6,201.292
265,0.06,-0.052,-14.4,201.845
266,0.064,-0.052,-14.4,201.292
267,0.064,-0.052,-14.4,201.292
268,0.06,-0.052,-14.4,201.845
269,0.06,-0.052,-14.4,201.292
270,0.06,-0.052,-14.4,201.292
271,0.064,-0.048,-14.4,201.292
272,0.064,-0.048,-14.4,201.845
273,0.064,-0.052,-14.4,201.845
274,0.064,-0.052,-14.2,201.845
275,0.064,-0.048,-14.4,201.292
276,0.064,-0.052,-14.4,201.845
277,0.064,-0.048,-14.4,201.845
278,0.064,-0.048,-14.4,201.292
279,0.064,-0.052,-14.4,201.292
280,0.064,-0.048,-14.2,201.845
281,0.06,-0.052,-14.4,201.292
282,0.064,-0.052,-14.4,201.292
283,0.06,-0.052,-14.2,201.292
284,0.064,-0.048,-14.2,201.292
285,0.064,-0.052,-14.4,201.292
286,0.064,-0.048,-14.2,201.845
287,0.064,-0.048,-14.2,201.292
288,0.06,-0.052,-14.2,201.292
289,0.064,-0.052,-14.2,201.292
290,0.064,-0.048,-14.2,201.292
291,0.064,-0.052,-14.2,201.292
292,0.064,-0.052,-14.2,201.845
293,0.064,-0.048,-14.2,201.845
294,0.064,-0.052,-14.2,201.292
295,0.064,-0.048,-14.2,201.292
296,0.064,-0.052,-14.2,201.292
297,0.06,-0.052,-14.2,201.845
298,0.064,-0.048,-14.2,201.845
299,0.06,-0.052,-14.2,201.292
300,0.064,-0.048,-14.2,201.845
301,0.064,-0.048,-14.2,201.292
302,0.064,-0.052,-14.2,201.845
303,0.064,-0.052,-14.2,201.845
304,0.064,-0.048,-14,201.845
305,0.064,-0.052,-14.2,201.292
306,0.064,-0.052,-14.2,201.845
307,0.064,-0.048,-14.2,201.292
308,0.064,-0.048,-14.2,201.845
309,0.064,-0.052,-14,201.845
